,^GSPC,^DJI,^IXIC,^NYA,^XAX,^BUK100P,^RUT,^VIX,^FTSE,^GDAXI,^FCHI,^STOXX50E,^N100,^BFX,IMOEX.ME,^N225,^HSI,000001.SS,399001.SZ,^STI,^AXJO,^AORD,^BSESN,^JKSE,^KLSE,^NZ50,^KS11,^TWII,^GSPTSE,^BVSP,^MXX,^MERV,^TA125.TA,^JN0U.JO
^GSPC,1.0,0.9898853811185839,0.9819521220578449,0.9585179312040907,0.08525836537282673,-0.1886229437443509,0.9566755266571644,0.023645477777035556,0.46878931993605566,0.8445348109672777,0.7872074040697215,0.4763678916370761,0.17921060799818064,0.4800236868493885,-0.26691414989262213,0.8996307787337953,0.570957998622039,0.10372018980295392,0.27159417556731225,0.049049146468941485,0.5275505481464143,0.3471740416111073,0.8156417513127799,0.30382616448382116,0.06780934830493948,0.9229500480468007,0.1619435192915707,0.8250540444009306,0.3858819570374118,0.7220232461489393,0.358105479347164,0.9214465653065288,0.2293707596456163,0.137937754639116
^DJI,0.9898853811185839,1.0,0.9601492771441767,0.9614181537865866,0.14998336764370906,-0.1185825632447543,0.9598762520510474,-0.010325727719698188,0.505253424260103,0.8372555785281107,0.7964042611901376,0.47276188921109596,0.18070220469147055,0.4793397553041995,-0.24770926358568132,0.8920482873215833,0.6024759193514084,0.10334218736022399,0.21654220373558003,0.058622135303437954,0.5310175814409765,0.350476444498989,0.8142669437397083,0.31111759301843295,0.06583275195095158,0.9139862342793171,0.16567661691659705,0.8077491425601664,0.38677097316695613,0.7476331563771167,0.3738463823804791,0.9210036005439007,0.22636506941012394,0.13422368264447287
^IXIC,0.9819521220578449,0.9601492771441767,1.0,0.8990044397724385,-0.024429100791726593,-0.31474668825267194,0.9114175632891935,0.1382803505450691,0.36951147996662914,0.7850463990097656,0.716051247036345,0.42035116611234025,0.16213377460625433,0.4166320103595894,-0.20257392195935806,0.8514310998142396,0.5221568340800522,0.09479335210991796,0.33308614645988993,0.02981804013935182,0.4938183046939233,0.3295045388360522,0.7940940663768598,0.2799718869308671,0.0631313950417242,0.9127061239896255,0.15861081189614432,0.8380200564538282,0.3668199288179961,0.7447887981315698,0.2648887965011487,0.9244132603288323,0.21341545813625923,0.10919090948032317
^NYA,0.9585179312040907,0.9614181537865866,0.8990044397724385,1.0,0.3159805723421511,-0.03167413784424862,0.9849070431843905,-0.19258229497688312,0.5977659644637013,0.8829262792349211,0.8511460733280278,0.5498455169323674,0.19322966941579509,0.5412443085844869,-0.3342556818507715,0.9183362180396407,0.6395370151273791,0.10638443266097306,0.20628386232834142,0.09460062831590235,0.5566060746586148,0.3613244863251215,0.7991003998089716,0.3195343272453988,0.07385307966431741,0.8537113784713978,0.16722906845014526,0.7934594836917643,0.4015212307995977,0.6459070881507467,0.4750059291328562,0.8476017793699692,0.22517375562316508,0.1623531148991312
^XAX,0.08525836537282673,0.14998336764370906,-0.024429100791726593,0.3159805723421511,1.0,0.4009360381455287,0.29894514512578113,-0.7427657774851159,0.5099584224868797,0.23623142677805634,0.307222390743564,0.25084929071479645,0.06336991548235708,0.2091907346290644,-0.1158751633235544,0.16533611055822336,0.3527721250558195,-0.008661225203313383,-0.24445811728952216,0.16621779914691875,0.19227021893147528,0.11769520451051214,0.1484243844152566,0.13632781300000227,0.03964471471528691,-0.024483477015074275,0.071851142043667,0.11157226853863902,0.16009092259502217,0.062152386833125524,0.4410256118126772,0.008694872463887116,0.024714623117851633,0.08318759142746207
^BUK100P,-0.1886229437443509,-0.1185825632447543,-0.31474668825267194,-0.03167413784424862,0.4009360381455287,1.0,0.034994813118704664,0.040561224558003525,0.4258079292188515,0.09727144219989124,0.0801461767850241,-0.02434695682624638,-0.18290675954479726,-0.02877462239257037,-0.18476077715382452,-0.03981554603061034,0.19364237449710675,-0.02132981780226527,-0.3323812627756419,0.04137508460486538,-0.0711940338657375,-0.11997009705113741,-0.10082990822196077,-0.02586885546909451,-0.020681945889028257,-0.1585000866708224,-0.09772193877243575,-0.25902748182204793,-0.04470206857937036,-0.1416469178115341,0.27189606519266424,-0.2255661223006772,-0.03512581928229883,0.00022827139609268689
^RUT,0.9566755266571644,0.9598762520510474,0.9114175632891935,0.9849070431843905,0.29894514512578113,0.034994813118704664,1.0,0.9682964681836421,0.27982049476560467,0.2011372210425656,0.2002187074556996,0.11861982352198241,0.04547602466303218,0.12261098616260176,-0.07961679221429184,0.19784682389996452,0.13321719476962332,0.020892551632694902,0.03132580397456548,0.10627819747072804,0.14309754845583353,0.0900117033170996,0.16609921982964307,0.07169924381302976,0.04673138185897174,0.1840981492084044,0.025814685768138057,0.20106853001907432,0.27555441483829946,0.13621962763593512,0.10886863319767834,0.18189024759227185,-0.005759360416389403,-0.00024576763074019145
^VIX,0.023645477777035556,-0.010325727719698188,0.1382803505450691,-0.19258229497688312,-0.7427657774851159,0.040561224558003525,0.9682964681836421,1.0,0.1661891752469645,0.005186621619230348,0.011984902941700891,-0.0013004848106823103,0.0038091826895638465,0.002060706384147176,-0.0074723658207079754,-0.007816994416772288,-0.011744067074622328,0.00015568733929763703,-0.014162846025919785,0.09349316841362586,0.026046398932796217,0.011941566510697088,-0.012867424256217515,-0.0004517221837726412,0.03250772123038446,-0.0027224850226911204,-0.014526045716084771,0.030802253045161987,0.1948503391593198,-0.00913780420371521,-0.004503725828275325,-0.006534328368701681,-0.05626004346556423,-0.0387812956245665
^FTSE,0.46878931993605566,0.505253424260103,0.36951147996662914,0.5977659644637013,0.5099584224868797,0.4258079292188515,0.27982049476560467,0.1661891752469645,1.0,0.7268851491801351,0.678229913576142,0.3979543813570802,-0.03866014995133499,0.3196322066649256,-0.3274787930564645,0.49893890121801393,0.5744240983101404,0.07571296090855933,-0.010278018314095127,0.10229919622483932,0.17435656019284465,-0.0261362914821807,0.40183502834601303,0.18271008479348524,0.06221201156512233,0.4473865061225951,0.07353159575014553,0.36532349809708325,0.13565965135288738,0.28669418521899936,0.4706193551777233,0.34880286157926477,0.0811833384173141,0.08136434303043842
^GDAXI,0.8445348109672777,0.8372555785281107,0.7850463990097656,0.8829262792349211,0.23623142677805634,0.09727144219989124,0.2011372210425656,0.005186621619230348,0.7268851491801351,1.0,0.8550580677946077,0.5278865775348526,0.06118980049406,0.4908456354235892,-0.3849895300120775,0.8523310357253618,0.6504907557140398,0.0819898823671673,0.27088046761329376,0.03209475416308543,0.37878804049863396,0.1685748643446068,0.7127356526262597,0.23138459005975753,0.051439682633698074,0.7978459610486287,0.09303081389609962,0.6747847568095342,0.2675984168325239,0.5422680256583413,0.5075935918251637,0.7422400894784881,0.20152150686008793,0.15117018336491178
^FCHI,0.7872074040697215,0.7964042611901376,0.716051247036345,0.8511460733280278,0.307222390743564,0.0801461767850241,0.2002187074556996,0.011984902941700891,0.678229913576142,0.8550580677946077,1.0,0.8362097074645154,0.46062527898022826,0.7888656275561048,-0.1921133604567872,0.7986822204423257,0.5927739746684993,0.15710244255914024,0.2413726226527712,0.1502922753345059,0.39869871015203096,0.19192058819390265,0.6334778315638868,0.2706947210368258,0.10136765730943004,0.7383449592620291,0.21718678170856381,0.6576862905416533,0.270261260706064,0.4738542548983153,0.35041455414831,0.6772927657162221,0.19659657893339538,0.16427294479777843
^STOXX50E,0.4763678916370761,0.47276188921109596,0.42035116611234025,0.5498455169323674,0.25084929071479645,-0.02434695682624638,0.11861982352198241,-0.0013004848106823103,0.3979543813570802,0.5278865775348526,0.8362097074645154,1.0,0.8319062058506907,0.9568083818641582,0.016815489132320255,0.519570756464102,0.2999945805918031,0.1701399519877692,0.1999365770831228,0.20861740118971533,0.2852448951729471,0.15317484323963204,0.3286510931744084,0.16395131505164248,0.12113898723344728,0.4196188200884124,0.24567498233468696,0.4424997516225264,0.17759722897269795,0.1741348950348816,0.11953485805795934,0.37735923104084723,0.145298074024336,0.1504773749660831
^N100,0.17921060799818064,0.18070220469147055,0.16213377460625433,0.19322966941579509,0.06336991548235708,-0.18290675954479726,0.04547602466303218,0.0038091826895638465,-0.03866014995133499,0.06118980049406,0.46062527898022826,0.8319062058506907,1.0,0.8599060430306188,0.25860882674841856,0.17376694348886174,-0.05935043064923593,0.1417276627468084,0.05708213044423173,0.2047598290079156,0.18017709120873893,0.16397149422131266,0.04230965392268552,0.08734312376532863,0.11812921119383424,0.13018870392451565,0.2316950401114946,0.19173943601486193,0.09324994095515156,-0.010939917136720278,-0.1532092774609559,0.14118735499212837,0.08792593520971825,0.10324720670633437
^BFX,0.4800236868493885,0.4793397553041995,0.4166320103595894,0.5412443085844869,0.2091907346290644,-0.02877462239257037,0.12261098616260176,0.002060706384147176,0.3196322066649256,0.4908456354235892,0.7888656275561048,0.9568083818641582,0.8599060430306188,1.0,0.029729840126318196,0.5320475711486211,0.265698808019,0.17563025073974756,0.18296767722849708,0.19865752261205236,0.3081336210656288,0.19931379853773748,0.3325324643187676,0.18961017702431804,0.12290471245912986,0.4206123515357951,0.24594869976154274,0.41997037605394555,0.19224617202038022,0.14971331914023317,0.18392902717662288,0.39509190223060325,0.1671810225427997,0.18689246091973127
IMOEX.ME,-0.26691414989262213,-0.24770926358568132,-0.20257392195935806,-0.3342556818507715,-0.1158751633235544,-0.18476077715382452,-0.07961679221429184,-0.0074723658207079754,-0.3274787930564645,-0.3849895300120775,-0.1921133604567872,0.016815489132320255,0.25860882674841856,0.029729840126318196,1.0,-0.3335089979567099,-0.17931921140923798,0.03205608815375592,0.10030216461884603,0.058242873506940296,-0.142481821527238,-0.06742952530023624,-0.2323936164690383,-0.09978283716466345,-0.008586188626578317,-0.25218519841655807,0.05076728686589892,-0.12080954899723349,-0.07114482378904631,-0.013631796232147513,-0.3250695363690484,-0.17110414691670547,-0.07870408723182228,-0.07106120367590825
^N225,0.8996307787337953,0.8920482873215833,0.8514310998142396,0.9183362180396407,0.16533611055822336,-0.03981554603061034,0.19784682389996452,-0.007816994416772288,0.49893890121801393,0.8523310357253618,0.7986822204423257,0.519570756464102,0.17376694348886174,0.5320475711486211,-0.3335089979567099,1.0,0.6033287703705033,0.11780558260966717,0.3024624100782012,0.03656212254008211,0.45769865294671547,0.3095428227570335,0.7339785014421846,0.28899856234814725,0.07174395353257305,0.801721678100211,0.10994032635098654,0.6842399973269528,0.2955916270023723,0.5364923203842167,0.3876250605914465,0.7956656333665765,0.22358619963516482,0.167867120344749
^HSI,0.570957998622039,0.6024759193514084,0.5221568340800522,0.6395370151273791,0.3527721250558195,0.19364237449710675,0.13321719476962332,-0.011744067074622328,0.5744240983101404,0.6504907557140398,0.5927739746684993,0.2999945805918031,-0.05935043064923593,0.265698808019,-0.17931921140923798,0.6033287703705033,1.0,-0.025156901159647662,0.27264515320871235,-0.09402904228242671,0.17839493518928112,0.07318620186313375,0.5426954600355512,0.16008377931623022,-0.0578620913744639,0.5059108419947211,-0.07304651297878842,0.4381843794143955,0.12455844973076398,0.49947363257994337,0.45573068652255205,0.507012595174058,0.09942190016165249,0.05821836393658986
