Date,^GSPC,^DJI,^IXIC,^NYA,^XAX,^BUK100P,^RUT,^VIX,^FTSE,^GDAXI,^FCHI,^STOXX50E,^N100,^BFX,IMOEX.ME,^N225,^HSI,000001.SS,399001.SZ,^STI,^AXJO,^AORD,^BSESN,^JKSE,^KLSE,^NZ50,^KS11,^TWII,^GSPTSE,^BVSP,^MXX,^MERV,^TA125.TA,^JN0U.JO
2011-01-03,1271.8699951171875,11670.75,2691.52001953125,8043.97021484375,2217.6201171875,10011.1201171875,798.5599975585938,17.610000610351562,3503.675117492676,6989.740234375,3900.860107421875,2839.429931640625,705.3800048828125,2631.840087890625,9566.576985677082,16501.31388346354,23436.05078125,16702.623860677082,9969.196940104166,3235.77001953125,9010.863606770832,14785.957194010416,20561.05078125,3727.3720703125,1533.4200439453125,1801.7500610351562,2070.080078125,9025.2587890625,39493.62939453125,69962.0,38605.80078125,3628.47998046875,1235.43994140625,1235.43994140625
2011-01-04,1270.199951171875,11691.1796875,2681.25,8022.18017578125,2198.580078125,10123.0400390625,785.8300170898438,17.3799991607666,6013.89990234375,6975.35009765625,3916.030029296875,2844.169921875,707.969970703125,2647.860107421875,6522.9798583984375,10398.099609375,23668.48046875,2852.64794921875,12714.3671875,3250.2900390625,4742.5,4849.5,20498.720703125,3759.914794921875,1551.8900146484375,3309.030029296875,2085.139892578125,8997.1494140625,13402.2998046875,70318.0,38542.16015625,3613.72998046875,1235.550048828125,1235.550048828125
2011-01-05,1276.56005859375,11722.8896484375,2702.199951171875,8040.0400390625,2200.510009765625,10184.0595703125,795.0900268554688,17.020000457763672,6043.89990234375,6939.81982421875,3904.610107421875,2833.739990234375,705.52001953125,2631.570068359375,6506.1697998046875,10380.76953125,23757.8203125,2839.220947265625,12647.48828125,3254.25,4714.89990234375,4820.89990234375,20301.099609375,3783.561767578125,1566.1700439453125,3324.989990234375,2082.550048828125,8846.26953125,13396.0,71091.0,38696.23828125,3604.800048828125,1235.010009765625,1235.010009765625
2011-01-06,1273.8499755859375,11697.3095703125,2709.889892578125,8000.89990234375,2172.909912109375,10159.7001953125,791.4199829101562,17.399999618530273,6019.5,6981.39013671875,3904.419921875,2836.22998046875,706.0900268554688,2625.43994140625,6577.599853515625,10529.759765625,23786.30078125,2824.197021484375,12599.5185546875,3279.699951171875,4725.0,4831.10009765625,20184.740234375,3736.11181640625,1568.3699951171875,3326.7099609375,2077.610107421875,8883.1689453125,13311.7001953125,70579.0,38589.671875,3603.43994140625,1238.8699951171875,1238.8699951171875
2011-01-07,1271.5,11674.759765625,2703.169921875,7980.31982421875,2150.580078125,10100.419921875,787.8300170898438,17.139999389648438,5984.2998046875,6947.83984375,3865.580078125,2808.25,700.6500244140625,2605.14990234375,6573.094970703125,10541.0400390625,23686.630859375,2838.801025390625,12573.798828125,3261.35009765625,4705.0,4812.0,19691.810546875,3631.311767578125,1572.2099609375,3317.93994140625,2086.199951171875,8782.6796875,13272.2998046875,70057.0,38600.859375,3546.260009765625,3546.260009765625,3546.260009765625
2011-01-10,1269.75,11637.4501953125,2707.800048828125,7966.08984375,2158.5,10063.48046875,791.5800170898438,17.540000915527344,5956.2998046875,6857.06005859375,3802.030029296875,2760.8798828125,691.5499877929688,2555.18994140625,9545.8798828125,16536.56982421875,23527.259765625,2791.80908203125,12331.021484375,3229.27001953125,4712.2998046875,4818.7001953125,19224.119140625,3478.41357421875,1563.52001953125,3324.070068359375,2080.81005859375,8817.83984375,13245.099609375,70127.0,38378.16015625,3540.590087890625,1226.27001953125,1226.27001953125
2011-01-11,1274.47998046875,11671.8798828125,2716.830078125,8018.68017578125,2187.860107421875,10154.3798828125,794.760009765625,16.889999389648438,6014.0,6941.56982421875,3861.919921875,2796.60009765625,700.780029296875,2579.699951171875,6545.1898193359375,10510.6796875,23760.33984375,2804.047119140625,12385.03125,3241.489990234375,4710.7001953125,4814.89990234375,19196.33984375,3454.992431640625,1562.93994140625,3329.760009765625,2088.320068359375,8931.3193359375,13401.099609375,70423.0,38028.80859375,3545.7099609375,1241.050048828125,1241.050048828125
2011-01-12,1285.9599609375,11755.4404296875,2737.330078125,8122.97998046875,2203.3798828125,10198.7802734375,801.3599853515625,16.239999771118164,6050.7001953125,7068.77978515625,3945.070068359375,2879.110107421875,711.75,2626.39990234375,6569.599853515625,10512.7998046875,24125.609375,2821.304931640625,12409.841796875,3244.93994140625,4724.2001953125,4831.89990234375,19534.099609375,3554.627685546875,1566.489990234375,3334.580078125,2094.949951171875,8964.958984375,13460.2001953125,71633.0,37963.30859375,3601.449951171875,1244.3299560546875,1244.3299560546875
2011-01-13,1283.760009765625,11731.900390625,2735.2900390625,8119.43017578125,2167.77001953125,10154.9404296875,800.6500244140625,16.389999389648438,6023.89990234375,7075.10986328125,3974.830078125,2915.6201171875,713.780029296875,2632.679931640625,6611.2198486328125,10589.759765625,24238.98046875,2827.7119140625,12423.2001953125,3255.8701171875,4795.2001953125,4901.5,19182.8203125,3564.798095703125,1571.56005859375,3373.7099609375,2089.47998046875,8975.5390625,13401.5,70721.0,38070.19140625,3543.469970703125,1244.8399658203125,1244.8399658203125
2011-01-14,1293.239990234375,11787.3798828125,2755.300048828125,8174.1201171875,2185.52001953125,10126.330078125,807.5700073242188,15.460000038146973,6002.10009765625,7075.7001953125,3983.280029296875,2920.39990234375,713.9000244140625,2621.31005859375,6560.175048828125,10499.0400390625,24283.23046875,2791.343994140625,12294.03125,3245.9599609375,4801.5,4908.60009765625,18860.439453125,3569.005126953125,1569.8900146484375,3369.889892578125,2108.169921875,8972.46875,13464.099609375,70940.0,37994.71875,3539.06005859375,3539.06005859375,3539.06005859375
2011-01-17,,,,,,10099.51953125,8728.246419270834,7356.973307291666,5985.7001953125,7078.06005859375,3975.409912109375,2910.6298828125,713.1599731445312,2621.419921875,6562.14013671875,10502.8603515625,24156.970703125,2706.659912109375,11734.4892578125,3238.6298828125,4763.10009765625,4872.60009765625,18882.25,3535.59326171875,1574.489990234375,3354.300048828125,2099.85009765625,8925.048828125,13440.099609375,70609.0,38096.91015625,3563.35009765625,1244.3199462890625,1244.3199462890625
