,^GSPC,^DJI,^IXIC,^NYA,^XAX,^BUK100P,^RUT,^VIX,^FTSE,^GDAXI,^FCHI,^STOXX50E,^N100,^BFX,IMOEX.ME,^N225,^HSI,000001.SS,399001.SZ,^STI,^AXJO,^AORD,^BSESN,^JKSE,^KLSE,^NZ50,^KS11,^TWII,^GSPTSE,^BVSP,^MXX,^MERV,^TA125.TA,^JN0U.JO
count,2543.0,2543.0,2543.0,2543.0,2543.0,2605.0,2605.0,2605.0,2607.0,2608.0,2608.0,2608.0,2608.0,2608.0,2611.0,2629.0,2629.0,2629.0,2629.0,2629.0,2629.0,2629.0,2631.0,2631.0,2631.0,2631.0,2631.0,2631.0,2632.0,2632.0,2632.0,2632.0,2633.0,2633.0
mean,2187.914686628275,19353.367505852464,5612.233812506913,10745.475854367382,2398.1868161086345,10205.05411461301,1427.4087056626254,216.8347427279325,6543.671014655129,10072.9116483676,4559.3551080626385,3121.9492312345037,936.7050897538144,3277.4559405803857,3283.585112432946,16959.96119118568,23478.247802133705,3600.704162155666,10181.458882735307,3327.9579003933227,5598.887530860403,5797.215224066826,26517.60740111348,5690.146196860208,2092.539870162224,6642.072222936736,2490.6540200879513,9512.942528926473,15095.799670116421,66093.3523425194,42312.570006817135,17943.26625271056,4302.2108561661535,3663.310857660545
std,653.3481563052511,5419.487297063489,2470.5667681397545,1875.5901602732915,202.4347380702943,3176.7948519319457,1339.9380384318106,1301.9375595720664,903.4067258153304,2420.862726679536,842.2964096486706,647.3215956735063,773.085544290011,920.5764207403884,2410.293120744022,5060.810586401352,4385.1925729866125,3124.077440161762,2000.5605444645753,1348.6646355153107,1431.5456158677468,2284.214161012218,9420.94553764928,3018.8751171550066,2035.2210446393221,2963.251508344929,1824.2041565542959,1931.6288500745045,4632.5765181001125,21843.393334911478,6339.481617794841,14058.3929740424,6940.063056386603,5254.171061066594
min,1099.22998046875,10655.2998046875,2335.830078125,6571.4501953125,1317.219970703125,553.4400024414062,609.489990234375,9.140000343322754,203.50571986607144,393.7614397321428,584.0171595982142,774.2728794642857,529.5,1154.7843191964284,1237.4300537109375,1555.0592854817708,1791.5486246744792,1950.011962890625,2578.552001953125,2233.47998046875,3036.7807006835938,3361.180419921875,3431.380615234375,2786.517740885417,1219.719970703125,1581.739990234375,1457.6400146484375,1688.6866658528645,1551.0033365885415,1413.3200073242188,1275.636678059896,1137.953348795573,897.97998046875,897.97998046875
25%,1654.7449951171875,15151.9248046875,3579.43505859375,9379.99462890625,2304.60498046875,9935.419921875,1010.2999877929688,13.100000381469728,6011.599853515625,7993.4200439453125,4032.0025634765625,2826.8749389648438,749.1425170898438,2720.907470703125,1733.8650512695312,13514.2001953125,21663.16015625,2377.511962890625,8804.3203125,2921.31005859375,5003.60009765625,5035.7001953125,19180.8095703125,4441.486328125,1598.989990234375,4434.3701171875,1963.77001953125,8280.1396484375,13081.025390625,52551.75,39611.4990234375,4304.8874588012695,1235.1700439453125,1237.260009765625
50%,2090.35009765625,17888.279296875,4997.4599609375,10815.419921875,2411.199951171875,11108.4296875,1209.8199462890625,15.56999969482422,6627.39990234375,10369.06982421875,4530.72998046875,3159.6549072265625,887.1700134277344,3405.820068359375,2304.06005859375,17353.279296875,23447.33984375,2928.111083984375,10131.6962890625,3158.570068359375,5479.7001953125,5506.0,26818.8203125,5111.39208984375,1682.699951171875,6069.740234375,2040.5999755859373,9165.0478515625,14732.25,59813.5,43067.14453125,13221.83984375,1353.6199951171875,1486.6400146484375
75%,2724.0,24714.53515625,7358.78515625,12396.1650390625,2526.7000732421875,12039.1904296875,1510.219970703125,20.07999992370605,7172.650146484375,12191.137939453125,5215.905029296875,3441.4949951171875,1015.479995727539,3702.179931640625,5139.280090332031,21193.810546875,26356.98046875,3263.47998046875,11112.5146484375,3290.469970703125,5963.2001953125,6069.2001953125,34075.0546875,5938.89111328125,1787.5399780273438,8757.6298828125,2217.2550048828125,10569.18505859375,15854.274658203125,78843.0,45472.064453125,29370.53662109375,2273.02001953125,3845.840087890625
max,3915.590087890625,31385.759765625,14007.697265625,15244.400390625,2833.43994140625,13398.83984375,13056.14990234375,12991.919921875,12927.68994140625,14060.2900390625,11802.579729352678,13943.669642857143,16084.759556361609,18225.849469866072,20366.939383370536,29451.890625,33154.12109375,28432.541573660717,30977.05747767857,33521.57338169643,36066.08928571429,42404.44995117188,51348.76953125,33812.75,33812.75,33812.75,33812.75,41868.639892578125,66767.03515625,125199.0,83470.9453125,55427.26171875,50145.0,50145.0
