,Unnamed: 0.1
count,1266.0
mean,0.0014244279826950358
std,0.013160366444127136
min,-0.1240879206394526
25%,-0.00252618064707685
50%,0.00159585552686425
75%,0.0065247650730359
max,0.1168095420923542
